account,total_pnl,total_trades,overall_win_rate,avg_leverage,avg_size,drawdown_proxy,leverage_segment,frequency_segment,winner_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,3818,0.3596123624934521,,16159.57673389209,-327934.1042560004,Low Leverage,Frequent,Inconsistent
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,37706.173148,3853,0.44303140410070074,,1759.7434388787956,-22423.106662000006,Low Leverage,Frequent,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,31763.088431,1146,0.43019197207678883,,10908.183944153578,-245.0703880000001,Low Leverage,Infrequent,Inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132315.481685,13266,0.43811246796321424,,509.01650233680084,-20849.96769999998,Low Leverage,Frequent,Inconsistent
0x2c229d22b100a7beb69122eed721cee9b24011dd,168627.984054,3234,0.5197897340754484,,3142.909573283859,-3323.090681999922,Low Leverage,Frequent,Consistent Winner
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-27704.567439,617,0.29497568881685576,,1894.0418962722854,-72378.920559,Low Leverage,Infrequent,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,3589,0.32766787405962666,,4790.5754862078575,-165878.95836699984,Low Leverage,Frequent,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,332,0.4759036144578313,,3445.471265060241,0.0,Low Leverage,Infrequent,Inconsistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,383,0.2349869451697128,,5189.367127937337,0.0,Low Leverage,Infrequent,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,1051,0.5699333967649858,,2580.497012369172,0.0,Low Leverage,Infrequent,Consistent Winner
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,101965.643134,8340,0.35335731414868105,,520.7206258992805,-19322.08860599989,Low Leverage,Frequent,Inconsistent
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,674403.995032,4134,0.48863086598935657,,8954.378674407353,-7577.27,Low Leverage,Frequent,Inconsistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,301287.891529,7479,0.3584703837411419,,17091.235308196283,-113383.71528999996,Low Leverage,Frequent,Inconsistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,6000,0.40016666666666667,,27373.685203333334,-84803.25168200003,Low Leverage,Frequent,Inconsistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108518.614902,822,0.49148418491484186,,779.8789416058394,-89.17809999999008,Low Leverage,Infrequent,Inconsistent
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,425815.195065,1134,0.4532627865961199,,9561.075255731923,-57761.67191099981,Low Leverage,Infrequent,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,393683.014159,1358,0.28276877761413843,,2179.4932474226803,-12239.233668999746,Low Leverage,Infrequent,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,361576.6227,8948,0.8093428699150648,,2755.616032632991,-22517.283583999786,Low Leverage,Frequent,Consistent Winner
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047,1554,0.4510939510939511,,3643.361287001287,-869.1459780000005,Low Leverage,Infrequent,Inconsistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,3071,0.28622598502116575,,2250.1390687072617,-19506.934788,Low Leverage,Infrequent,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64521.887634,1856,0.33135775862068967,,6292.94504849138,-4968.4879479999945,Low Leverage,Infrequent,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,77110.578772,11216,0.31624465049928674,,812.6480536733238,-21934.116506999995,Low Leverage,Frequent,Inconsistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,109197.778134,2804,0.30920114122681885,,3302.609835948645,-621.5450600000186,Low Leverage,Infrequent,Inconsistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,89495.522896,13485,0.3508342602892102,,1307.2303841305154,-8766.773925999856,Low Leverage,Frequent,Inconsistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,417,0.5731414868105515,,2066.6892086330936,-14725.235409,Low Leverage,Infrequent,Consistent Winner
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29677.264671,372,0.41397849462365593,,3233.528870967742,0.0,Low Leverage,Infrequent,Inconsistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,534,0.32209737827715357,,8330.193370786517,-2663.777113,Low Leverage,Infrequent,Inconsistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2040922.426049,14410,0.34073560027758504,,3879.316512144344,-10883.684992,Low Leverage,Frequent,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4838,0.4386109962794543,,22504.555828854896,-72447.14201299996,Low Leverage,Frequent,Inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,21190,0.46753185464841907,,3210.7751864086836,-25.50699399997393,Low Leverage,Frequent,Inconsistent
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,337113.657216,2478,0.3486682808716707,,7524.482457627119,-80079.21072899995,Low Leverage,Infrequent,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,811182.978768,36534,0.4347457163190453,,1862.8043345924345,-98726.73913599993,Low Leverage,Frequent,Inconsistent
